"negative_id","negative","level","scope","final_state","exact_action"
"NEG-0225","битрикс","group_cross","CORV-G05-01","SAFE — PROVEN","RETAIN negative «битрикс» at group_cross/CORV-G05-01"
"NEG-0226","касса","group_cross","CORV-G05-01","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G05-01"
"NEG-0227","маркировка","group_cross","CORV-G05-01","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G05-01"
"NEG-0228","перенос данных","group_cross","CORV-G05-01","SAFE — PROVEN","RETAIN negative «перенос данных» at group_cross/CORV-G05-01"
"NEG-0229","сайт","group_cross","CORV-G05-03","REMOVED","REMOVED: «сайт» deleted from group_cross/CORV-G05-03 — Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group"
"NEG-0230","битрикс","group_cross","CORV-G05-03","SAFE — PROVEN","RETAIN negative «битрикс» at group_cross/CORV-G05-03"
"NEG-0231","маркировка","group_cross","CORV-G05-03","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G05-03"
"NEG-0232","перенос","group_cross","CORV-G05-03","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G05-03"
"NEG-0233","синхронизация","group_cross","CORV-G05-06","REMOVED","REMOVED: «синхронизация» deleted from group_cross/CORV-G05-06 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0234","обмен","group_cross","CORV-G05-06","SAFE — PROVEN","RETAIN negative «обмен» at group_cross/CORV-G05-06"
"NEG-0235","сайт","group_cross","CORV-G05-06","REMOVED","REMOVED: «сайт» deleted from group_cross/CORV-G05-06 — Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group"
"NEG-0236","битрикс","group_cross","CORV-G05-06","SAFE — PROVEN","RETAIN negative «битрикс» at group_cross/CORV-G05-06"
"NEG-0237","касса","group_cross","CORV-G05-06","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G05-06"
"NEG-0238","сайт","group_cross","CORV-G05-04","REMOVED","REMOVED: «сайт» deleted from group_cross/CORV-G05-04 — Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group"
"NEG-0239","битрикс","group_cross","CORV-G05-04","SAFE — PROVEN","RETAIN negative «битрикс» at group_cross/CORV-G05-04"
"NEG-0240","перенос данных","group_cross","CORV-G05-04","SAFE — PROVEN","RETAIN negative «перенос данных» at group_cross/CORV-G05-04"
"NEG-0241","касса","group_cross","CORV-G05-04","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G05-04"
"NEG-0242","настройк обмен","group_cross","CORV-G05-04","SAFE — PROVEN","RETAIN negative «настройк обмен» at group_cross/CORV-G05-04"
"NEG-0243","сайт","group_cross","CORV-G05-05","REMOVED","REMOVED: «сайт» deleted from group_cross/CORV-G05-05 — Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group"
"NEG-0244","битрикс","group_cross","CORV-G05-05","SAFE — PROVEN","RETAIN negative «битрикс» at group_cross/CORV-G05-05"
"NEG-0245","касса","group_cross","CORV-G05-05","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G05-05"
"NEG-0246","перенос","group_cross","CORV-G05-05","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G05-05"
"NEG-0247","закупок","group_cross","CORV-G04-01","SAFE — PROVEN","RETAIN negative «закупок» at group_cross/CORV-G04-01"
"NEG-0248","планирован","group_cross","CORV-G04-01","SAFE — PROVEN","RETAIN negative «планирован» at group_cross/CORV-G04-01"
"NEG-0249","календар","group_cross","CORV-G04-01","SAFE — PROVEN","RETAIN negative «календар» at group_cross/CORV-G04-01"
"NEG-0250","платеж","group_cross","CORV-G04-01","SAFE — PROVEN","RETAIN negative «платеж» at group_cross/CORV-G04-01"
"NEG-0251","себестоим","group_cross","CORV-G04-02","SAFE — PROVEN","RETAIN negative «себестоим» at group_cross/CORV-G04-02"
"NEG-0252","календар","group_cross","CORV-G04-02","SAFE — PROVEN","RETAIN negative «календар» at group_cross/CORV-G04-02"
"NEG-0253","платеж","group_cross","CORV-G04-02","SAFE — PROVEN","RETAIN negative «платеж» at group_cross/CORV-G04-02"
"NEG-0254","себестоим","group_cross","CORV-G04-03","SAFE — PROVEN","RETAIN negative «себестоим» at group_cross/CORV-G04-03"
"NEG-0255","закупок","group_cross","CORV-G04-03","SAFE — PROVEN","RETAIN negative «закупок» at group_cross/CORV-G04-03"
"NEG-0256","планирован","group_cross","CORV-G04-03","SAFE — PROVEN","RETAIN negative «планирован» at group_cross/CORV-G04-03"
"NEG-0257","отчет","group_cross","CORV-G03-04","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G03-04"
"NEG-0258","рмк","group_cross","CORV-G03-04","SAFE — PROVEN","RETAIN negative «рмк» at group_cross/CORV-G03-04"
"NEG-0259","маркировка","group_cross","CORV-G03-04","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-04"
"NEG-0260","создан","group_cross","CORV-G03-04","SAFE — PROVEN","RETAIN negative «создан» at group_cross/CORV-G03-04"
"NEG-0261","отчет","group_cross","CORV-G03-06","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G03-06"
"NEG-0262","печатная форма","group_cross","CORV-G03-06","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G03-06 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0263","маркировка","group_cross","CORV-G03-06","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-06"
"NEG-0264","внешн","group_cross","CORV-G03-06","SAFE — PROVEN","RETAIN negative «внешн» at group_cross/CORV-G03-06"
"NEG-0265","касса","group_cross","CORV-G03-06","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G03-06"
"NEG-0266","рмк","group_cross","CORV-G03-05","SAFE — PROVEN","RETAIN negative «рмк» at group_cross/CORV-G03-05"
"NEG-0267","маркировка","group_cross","CORV-G03-05","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-05"
"NEG-0268","печатная форма","group_cross","CORV-G03-02","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G03-02 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0269","доработк","group_cross","CORV-G03-02","SAFE — PROVEN","RETAIN negative «доработк» at group_cross/CORV-G03-02"
"NEG-0270","внешн","group_cross","CORV-G03-02","SAFE — PROVEN","RETAIN negative «внешн» at group_cross/CORV-G03-02"
"NEG-0271","маркировка","group_cross","CORV-G03-02","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-02"
"NEG-0272","рмк","group_cross","CORV-G03-02","SAFE — PROVEN","RETAIN negative «рмк» at group_cross/CORV-G03-02"
"NEG-0273","печатная форма","group_cross","CORV-G03-01","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G03-01 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0274","внешн","group_cross","CORV-G03-01","SAFE — PROVEN","RETAIN negative «внешн» at group_cross/CORV-G03-01"
"NEG-0275","создан","group_cross","CORV-G03-01","SAFE — PROVEN","RETAIN negative «создан» at group_cross/CORV-G03-01"
"NEG-0276","маркировка","group_cross","CORV-G03-01","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-01"
"NEG-0277","рмк","group_cross","CORV-G03-01","SAFE — PROVEN","RETAIN negative «рмк» at group_cross/CORV-G03-01"
"NEG-0278","доработк","group_cross","CORV-G03-03","SAFE — PROVEN","RETAIN negative «доработк» at group_cross/CORV-G03-03"
"NEG-0279","рмк","group_cross","CORV-G03-03","SAFE — PROVEN","RETAIN negative «рмк» at group_cross/CORV-G03-03"
"NEG-0280","маркировка","group_cross","CORV-G03-03","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G03-03"
"NEG-0281","внешн","group_cross","CORV-G03-03","SAFE — PROVEN","RETAIN negative «внешн» at group_cross/CORV-G03-03"
"NEG-0282","перенос","group_cross","CORV-G02-04","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G02-04"
"NEG-0283","исправлен","group_cross","CORV-G02-04","SAFE — PROVEN","RETAIN negative «исправлен» at group_cross/CORV-G02-04"
"NEG-0284","база","group_cross","CORV-G02-04","SAFE — PROVEN","RETAIN negative «база» at group_cross/CORV-G02-04"
"NEG-0285","исправлен","group_cross","CORV-G02-05","SAFE — PROVEN","RETAIN negative «исправлен» at group_cross/CORV-G02-05"
"NEG-0286","конфигурац","group_cross","CORV-G02-05","SAFE — PROVEN","RETAIN negative «конфигурац» at group_cross/CORV-G02-05"
"NEG-0287","база","group_cross","CORV-G02-05","SAFE — PROVEN","RETAIN negative «база» at group_cross/CORV-G02-05"
"NEG-0288","перенос","group_cross","CORV-G02-06","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G02-06"
"NEG-0289","конфигурац","group_cross","CORV-G02-06","SAFE — PROVEN","RETAIN negative «конфигурац» at group_cross/CORV-G02-06"
"NEG-0290","база","group_cross","CORV-G02-06","SAFE — PROVEN","RETAIN negative «база» at group_cross/CORV-G02-06"
"NEG-0291","отчет","group_cross","CORV-G02-02","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G02-02"
"NEG-0292","печатная форма","group_cross","CORV-G02-02","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G02-02 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0293","маркировка","group_cross","CORV-G02-02","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G02-02"
"NEG-0294","база","group_cross","CORV-G02-02","SAFE — PROVEN","RETAIN negative «база» at group_cross/CORV-G02-02"
"NEG-0295","перенос","group_cross","CORV-G02-02","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G02-02"
"NEG-0296","исправлен","group_cross","CORV-G02-02","SAFE — PROVEN","RETAIN negative «исправлен» at group_cross/CORV-G02-02"
"NEG-0297","отчет","group_cross","CORV-G02-03","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G02-03"
"NEG-0298","печатная форма","group_cross","CORV-G02-03","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G02-03 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0299","маркировка","group_cross","CORV-G02-03","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G02-03"
"NEG-0300","конфигурац","group_cross","CORV-G02-03","SAFE — PROVEN","RETAIN negative «конфигурац» at group_cross/CORV-G02-03"
"NEG-0301","обновлен","group_cross","CORV-G02-03","SAFE — PROVEN","RETAIN negative «обновлен» at group_cross/CORV-G02-03"
"NEG-0302","перенос","group_cross","CORV-G02-03","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G02-03"
"NEG-0303","отчет","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G02-01"
"NEG-0304","печатная форма","group_cross","CORV-G02-01","REMOVED","REMOVED: «печатная форма» deleted from group_cross/CORV-G02-01 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0305","маркировка","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G02-01"
"NEG-0306","конфигурац","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «конфигурац» at group_cross/CORV-G02-01"
"NEG-0307","база","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «база» at group_cross/CORV-G02-01"
"NEG-0308","обновлен","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «обновлен» at group_cross/CORV-G02-01"
"NEG-0309","перенос","group_cross","CORV-G02-01","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G02-01"
"NEG-0310","маркировка","group_cross","CORV-G01-02","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-02"
"NEG-0311","не работает","group_cross","CORV-G01-02","REMOVED","REMOVED: «не работает» deleted from group_cross/CORV-G01-02 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0312","доработка","group_cross","CORV-G01-02","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-02"
"NEG-0313","сопровождение","group_cross","CORV-G01-02","SAFE — PROVEN","RETAIN negative «сопровождение» at group_cross/CORV-G01-02"
"NEG-0314","настройка","group_cross","CORV-G01-02","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-02"
"NEG-0315","внедрение","group_cross","CORV-G01-02","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-02"
"NEG-0316","программист","group_cross","CORV-G01-07","SAFE — PROVEN","RETAIN negative «программист» at group_cross/CORV-G01-07"
"NEG-0317","доработка","group_cross","CORV-G01-07","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-07"
"NEG-0318","маркировка","group_cross","CORV-G01-07","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-07"
"NEG-0319","настройка","group_cross","CORV-G01-07","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-07"
"NEG-0320","разов","group_cross","CORV-G01-07","SAFE — PROVEN","RETAIN negative «разов» at group_cross/CORV-G01-07"
"NEG-0321","программист","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «программист» at group_cross/CORV-G01-06"
"NEG-0322","доработка","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-06"
"NEG-0323","маркировка","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-06"
"NEG-0324","абонент","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «абонент» at group_cross/CORV-G01-06"
"NEG-0325","настройка","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-06"
"NEG-0326","внедрение","group_cross","CORV-G01-06","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-06"
"NEG-0327","программист","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «программист» at group_cross/CORV-G01-05"
"NEG-0328","доработка","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-05"
"NEG-0329","маркировка","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-05"
"NEG-0330","не работает","group_cross","CORV-G01-05","REMOVED","REMOVED: «не работает» deleted from group_cross/CORV-G01-05 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0331","абонент","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «абонент» at group_cross/CORV-G01-05"
"NEG-0332","настройка","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-05"
"NEG-0333","внедрение","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-05"
"NEG-0334","разов","group_cross","CORV-G01-05","SAFE — PROVEN","RETAIN negative «разов» at group_cross/CORV-G01-05"
"NEG-0335","настройка","group_cross","CORV-G01-04","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-04"
"NEG-0336","сопровождение","group_cross","CORV-G01-04","SAFE — PROVEN","RETAIN negative «сопровождение» at group_cross/CORV-G01-04"
"NEG-0337","маркировка","group_cross","CORV-G01-04","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-04"
"NEG-0338","доработка","group_cross","CORV-G01-04","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-04"
"NEG-0339","внедрение","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-03"
"NEG-0340","маркировка","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-03"
"NEG-0341","интеграция","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «интеграция» at group_cross/CORV-G01-03"
"NEG-0342","доработка","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-03"
"NEG-0343","сопровождение","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «сопровождение» at group_cross/CORV-G01-03"
"NEG-0344","разов","group_cross","CORV-G01-03","SAFE — PROVEN","RETAIN negative «разов» at group_cross/CORV-G01-03"
"NEG-0345","маркировка","group_cross","CORV-G01-08","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-08"
"NEG-0346","сопровождение","group_cross","CORV-G01-08","SAFE — PROVEN","RETAIN negative «сопровождение» at group_cross/CORV-G01-08"
"NEG-0347","абонент","group_cross","CORV-G01-08","SAFE — PROVEN","RETAIN negative «абонент» at group_cross/CORV-G01-08"
"NEG-0348","настройка","group_cross","CORV-G01-08","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-08"
"NEG-0349","внедрение","group_cross","CORV-G01-08","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-08"
"NEG-0350","новосибирск","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «новосибирск» at group_cross/CORV-G01-01"
"NEG-0351","сопровождение","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «сопровождение» at group_cross/CORV-G01-01"
"NEG-0352","доработка","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G01-01"
"NEG-0353","маркировка","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G01-01"
"NEG-0354","не работает","group_cross","CORV-G01-01","REMOVED","REMOVED: «не работает» deleted from group_cross/CORV-G01-01 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0355","настройка","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «настройка» at group_cross/CORV-G01-01"
"NEG-0356","внедрение","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «внедрение» at group_cross/CORV-G01-01"
"NEG-0357","абонент","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «абонент» at group_cross/CORV-G01-01"
"NEG-0358","разов","group_cross","CORV-G01-01","SAFE — PROVEN","RETAIN negative «разов» at group_cross/CORV-G01-01"
"NEG-0359","вакансия","phrase_inline","CORV-G01-01","SAFE — PROVEN","RETAIN negative «вакансия» at phrase_inline/CORV-G01-01"
"NEG-0360","обучение","phrase_inline","CORV-G01-01","SAFE — PROVEN","RETAIN negative «обучение» at phrase_inline/CORV-G01-01"
"NEG-0361","курсы","phrase_inline","CORV-G01-01","SAFE — PROVEN","RETAIN negative «курсы» at phrase_inline/CORV-G01-01"
"NEG-0362","резюме","phrase_inline","CORV-G01-01","SAFE — PROVEN","RETAIN negative «резюме» at phrase_inline/CORV-G01-01"
"NEG-0363","как стать","phrase_inline","CORV-G01-01","SAFE — PROVEN","RETAIN negative «как стать» at phrase_inline/CORV-G01-01"
