source_term,canonical_term,wordpress_post_id,final_disposition,publication_eligible,launch_selected,pre_launch_status,post_launch_status,canonical_target,public_url,sitemap_present,related_links_ready,seo_ready,launch_result,launch_notes
Ссылочный профиль,Ссылочный профиль,2585,APPROVED,YES,YES,draft,publish,Ссылочный профиль,https://i-seo.su/glossary/ssylochnyj-profil/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Ссылочный спам,Ссылочный спам,2586,APPROVED,YES,YES,draft,publish,Ссылочный спам,https://i-seo.su/glossary/ssylochnyj-spam/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Структура сайта,Структура сайта,2587,APPROVED,YES,YES,draft,publish,Структура сайта,https://i-seo.su/glossary/struktura-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Счетчик посещаемости,Счетчик посещаемости,2588,APPROVED,YES,YES,draft,publish,Счетчик посещаемости,https://i-seo.su/glossary/schetchik-poseshhaemosti/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Тег description,Метатеги,2589,MERGED,NO,NO,draft,draft,Метатеги,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Метатеги
Тег title,Метатеги,2590,MERGED,NO,NO,draft,draft,Метатеги,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Метатеги
Текстовые факторы,Текстовые факторы,2591,APPROVED,YES,YES,draft,publish,Текстовые факторы,https://i-seo.su/glossary/tekstovye-faktory/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Техническая оптимизация,Техническая оптимизация,2592,APPROVED,YES,YES,draft,publish,Техническая оптимизация,https://i-seo.su/glossary/tehnicheskaya-optimizacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
тИЦ,тИЦ,2593,APPROVED,YES,YES,draft,publish,тИЦ,https://i-seo.su/glossary/ticz/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Топ-10 / Топ-3,Позиции сайта,2594,MERGED,NO,NO,draft,draft,Позиции сайта,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Позиции сайта
Точное вхождение,Точное вхождение,2595,APPROVED,YES,YES,draft,publish,Точное вхождение,https://i-seo.su/glossary/tochnoe-vhozhdenie/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Транзакционный интент,Транзакционный интент,2596,APPROVED,YES,YES,draft,publish,Транзакционный интент,https://i-seo.su/glossary/tranzakczionnyj-intent/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Траст сайта,Траст сайта,2597,APPROVED,YES,YES,draft,publish,Траст сайта,https://i-seo.su/glossary/trast-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Трафик,Сессия,2598,MERGED,NO,NO,draft,draft,Сессия,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Сессия
УВ,УВ,2599,MERGED,NO,NO,draft,draft,Уникальный посетитель,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Уникальный посетитель
Уникальность текста,Уникальность текста,2600,APPROVED,YES,YES,draft,publish,Уникальность текста,https://i-seo.su/glossary/unikalnost-teksta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Уникальный посетитель,Уникальный посетитель,2601,APPROVED,YES,YES,draft,publish,Уникальный посетитель,https://i-seo.su/glossary/unikalnyj-posetitel/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Устранение дублей,Устранение дублей,2602,APPROVED,YES,YES,draft,publish,Устранение дублей,https://i-seo.su/glossary/ustranenie-dublej/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Файл robots.txt,robots.txt,2603,APPROVED_RENAME,YES,YES,draft,publish,robots.txt,https://i-seo.su/glossary/robots-txt/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Фактор ранжирования,Фактор ранжирования,2604,APPROVED,YES,YES,draft,publish,Фактор ранжирования,https://i-seo.su/glossary/faktor-ranzhirovaniya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Фильтр поисковой системы,Фильтр поисковой системы,2605,APPROVED,YES,YES,draft,publish,Фильтр поисковой системы,https://i-seo.su/glossary/filtr-poiskovoj-sistemy/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Хлебные крошки,Хлебные крошки,2606,APPROVED,YES,YES,draft,publish,Хлебные крошки,https://i-seo.su/glossary/hlebnye-kroshki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Хостинг,Хостинг,2607,APPROVED,YES,YES,draft,publish,Хостинг,https://i-seo.su/glossary/hosting/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Хостинг-провайдер,Хостинг-провайдер,2608,APPROVED,YES,YES,draft,publish,Хостинг-провайдер,https://i-seo.su/glossary/hosting-provajder/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Целевая аудитория,Целевая аудитория,2609,APPROVED,YES,YES,draft,publish,Целевая аудитория,https://i-seo.su/glossary/czelevaya-auditoriya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Целевой поисковый запрос,Целевой поисковый запрос,2610,APPROVED,YES,YES,draft,publish,Целевой поисковый запрос,https://i-seo.su/glossary/czelevoj-poiskovyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Частотность запроса,Частотность запроса,2611,APPROVED,YES,YES,draft,publish,Частотность запроса,https://i-seo.su/glossary/chastotnost-zaprosa/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Чёрные методы оптимизации,Чёрные методы оптимизации,2612,APPROVED,YES,YES,draft,publish,Чёрные методы оптимизации,https://i-seo.su/glossary/chernye-metody-optimizaczii/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
ЧПУ (человекопонятный URL),ЧПУ,2613,APPROVED_RENAME,YES,YES,draft,publish,ЧПУ,https://i-seo.su/glossary/chpu/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Шингл,Шингл,2614,APPROVED,YES,YES,draft,publish,Шингл,https://i-seo.su/glossary/shingl/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Экспертность контента,Экспертность контента,2615,APPROVED,YES,YES,draft,publish,Экспертность контента,https://i-seo.su/glossary/ekspertnost-kontenta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Яндекс.Вебмастер,Яндекс.Вебмастер,2616,APPROVED,YES,YES,draft,publish,Яндекс.Вебмастер,https://i-seo.su/glossary/yandeks-vebmaster/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Яндекс Директ,Яндекс Директ,2617,APPROVED,YES,YES,draft,publish,Яндекс Директ,https://i-seo.su/glossary/yandeks-direkt/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Яндекс Каталог (YACA),Яндекс Каталог (YACA),2618,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Яндекс.Метрика,Яндекс.Метрика,2619,APPROVED,YES,YES,draft,publish,Яндекс.Метрика,https://i-seo.su/glossary/yandeks-metrika/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Alt-атрибут,Alt-текст,2620,APPROVED_RENAME,YES,YES,draft,publish,Alt-текст,https://i-seo.su/glossary/alt-tekst/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
AMP (ускоренные мобильные страницы),AMP,2621,APPROVED_RENAME,YES,YES,draft,publish,AMP,https://i-seo.su/glossary/amp/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
BERT,BERT,2622,APPROVED,YES,YES,draft,publish,BERT,https://i-seo.su/glossary/bert/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
BM25 (Okapi BM25),BM25,2623,APPROVED_RENAME,YES,YES,draft,publish,BM25,https://i-seo.su/glossary/bm25/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
CatBoost,CatBoost,2624,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
CLS,Core Web Vitals,2625,MERGED,NO,NO,draft,draft,Core Web Vitals,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Core Web Vitals
CMS (система управления сайтом),CMS,2626,APPROVED_RENAME,YES,YES,draft,publish,CMS,https://i-seo.su/glossary/cms/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Cookie,Cookie,2627,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Core Web Vitals,Core Web Vitals,2628,APPROVED,YES,YES,draft,publish,Core Web Vitals,https://i-seo.su/glossary/core-web-vitals/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
CPA,CPA,2629,APPROVED,YES,YES,draft,publish,CPA,https://i-seo.su/glossary/cpa/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
CPC,CPC,2630,APPROVED,YES,YES,draft,publish,CPC,https://i-seo.su/glossary/cpc/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
CPL,CPL,2631,APPROVED,YES,YES,draft,publish,CPL,https://i-seo.su/glossary/cpl/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
CTR (кликабельность),CTR,2632,APPROVED_RENAME,YES,YES,draft,publish,CTR,https://i-seo.su/glossary/ctr/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
d-url-rewriter.php (seo-модуль),d-url-rewriter.php (seo-модуль),2633,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
DA (Domain Authority),Domain Authority,2634,APPROVED_RENAME,YES,YES,draft,publish,Domain Authority,https://i-seo.su/glossary/domain-authority/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Disavow,Disavow,2635,APPROVED,YES,YES,draft,publish,Disavow,https://i-seo.su/glossary/disavow/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
DR (Domain Rating),Domain Rating,2636,APPROVED_RENAME,YES,YES,draft,publish,Domain Rating,https://i-seo.su/glossary/domain-rating/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
E-E-A-T,E-E-A-T,2637,APPROVED,YES,YES,draft,publish,E-E-A-T,https://i-seo.su/glossary/e-e-a-t/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Event tracking,Event tracking,2638,APPROVED,YES,YES,draft,publish,Event tracking,https://i-seo.su/glossary/event-tracking/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
FAQ-разметка,FAQ-разметка,2639,APPROVED_RENAME,YES,YES,draft,publish,FAQ-разметка,https://i-seo.su/glossary/faq-razmetka/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
FID,Core Web Vitals,2640,MERGED,NO,NO,draft,draft,Core Web Vitals,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Core Web Vitals
Flash/Флэш,Flash/Флэш,2641,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
GEO,GEO,2642,APPROVED,YES,YES,draft,publish,GEO,https://i-seo.su/glossary/geo/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
GET-параметр (CGI-параметр),GET-параметр,2643,APPROVED_RENAME,YES,YES,draft,publish,GET-параметр,https://i-seo.su/glossary/get-parametr/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Google Ads,Google Ads,2644,APPROVED,YES,YES,draft,publish,Google Ads,https://i-seo.su/glossary/google-ads/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Google AdSense,Google AdSense,2645,APPROVED,YES,YES,draft,publish,Google AdSense,https://i-seo.su/glossary/google-adsense/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Google Analytics,Google Analytics,2646,APPROVED,YES,YES,draft,publish,Google Analytics,https://i-seo.su/glossary/google-analytics/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Google Search Console,Google Search Console,2647,APPROVED,YES,YES,draft,publish,Google Search Console,https://i-seo.su/glossary/google-search-console/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
HTML,HTML,2648,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
HTTP-код ответа,HTTP-код ответа,2649,APPROVED,YES,YES,draft,publish,HTTP-код ответа,https://i-seo.su/glossary/http-kod-otveta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
HTTPS,HTTPS,2650,APPROVED,YES,YES,draft,publish,HTTPS,https://i-seo.su/glossary/https/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Human-First Content,Human-First Content,2651,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
IP-адрес,IP-адрес,2652,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
JS / JavaScript,JS / JavaScript,2653,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
KPI (ключевые показатели эффективности),KPI,2654,APPROVED_RENAME,YES,YES,draft,publish,KPI,https://i-seo.su/glossary/kpi/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
LCP,Core Web Vitals,2655,MERGED,NO,NO,draft,draft,Core Web Vitals,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Core Web Vitals
LSI,LSI,2656,APPROVED,YES,YES,draft,publish,LSI,https://i-seo.su/glossary/lsi/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
LTV,LTV,2657,APPROVED,YES,YES,draft,publish,LTV,https://i-seo.su/glossary/ltv/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
MFA,MFA,2658,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Mixed content,Mixed content,2659,APPROVED,YES,YES,draft,publish,Mixed content,https://i-seo.su/glossary/mixed-content/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Mobile-first indexing,Mobile-first indexing,2660,APPROVED,YES,YES,draft,publish,Mobile-first indexing,https://i-seo.su/glossary/mobile-first-indexing/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Neural Matching,Neural Matching,2661,APPROVED,YES,YES,draft,publish,Neural Matching,https://i-seo.su/glossary/neural-matching/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Noindex,Noindex,2662,APPROVED,YES,YES,draft,publish,Noindex,https://i-seo.su/glossary/noindex/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Pay-per-Click (PPC),PPC,2663,APPROVED_RENAME,YES,YES,draft,publish,PPC,https://i-seo.su/glossary/ppc/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
PBN,PBN,2664,APPROVED,YES,YES,draft,publish,PBN,https://i-seo.su/glossary/pbn/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
PR (PageRank),PageRank,2665,APPROVED_RENAME,YES,YES,draft,publish,PageRank,https://i-seo.su/glossary/pagerank/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
RankBrain,RankBrain,2666,APPROVED,YES,YES,draft,publish,RankBrain,https://i-seo.su/glossary/rankbrain/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
ROI (окупаемость инвестиций),ROI,2667,APPROVED_RENAME,YES,YES,draft,publish,ROI,https://i-seo.su/glossary/roi/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
ROMI,ROMI,2668,APPROVED,YES,YES,draft,publish,ROMI,https://i-seo.su/glossary/romi/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Sandbox,Google Sandbox,2669,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
SEO,SEO,2670,APPROVED,YES,YES,draft,publish,SEO,https://i-seo.su/glossary/seo/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
SERM,SERM,2671,APPROVED,YES,YES,draft,publish,SERM,https://i-seo.su/glossary/serm/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Spam Score,Spam Score,2672,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Spam Update,Spam Update,2673,APPROVED,YES,YES,draft,publish,Spam Update,https://i-seo.su/glossary/spam-update/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
SSL,HTTPS,2674,MERGED,NO,NO,draft,draft,HTTPS,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=HTTPS
TF-IDF,TF-IDF,2675,APPROVED,YES,YES,draft,publish,TF-IDF,https://i-seo.su/glossary/tf-idf/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
URL-адрес,URL,2676,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
UTM-метки,UTM-метки,2677,APPROVED,YES,YES,draft,publish,UTM-метки,https://i-seo.su/glossary/utm-metki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
UX/UI (юзабилити и интерфейс),UX и UI,2678,APPROVED_RENAME,YES,YES,draft,publish,UX и UI,https://i-seo.su/glossary/ux-i-ui/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Wayback Machine,Wayback Machine,2679,APPROVED,YES,YES,draft,publish,Wayback Machine,https://i-seo.su/glossary/wayback-machine/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
WHOIS,WHOIS,2680,APPROVED,YES,YES,draft,publish,WHOIS,https://i-seo.su/glossary/whois/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
404 ошибка,Ошибка 404,2681,APPROVED_RENAME,YES,YES,draft,publish,Ошибка 404,https://i-seo.su/glossary/oshibka-404/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
410 ошибка,Ошибка 410,2682,APPROVED_RENAME,YES,YES,draft,publish,Ошибка 410,https://i-seo.su/glossary/oshibka-410/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
500 ошибка,Ошибка 500,2683,APPROVED_RENAME,YES,YES,draft,publish,Ошибка 500,https://i-seo.su/glossary/oshibka-500/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Юзабилити,UX и UI,2684,MERGED,NO,NO,draft,draft,UX и UI,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=UX и UI
