"exact path","item type","directory/file","size bytes","size readable","planned action","post_cleanup_status","protected status","reason"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e30-services-catalog-before-20260712-213642","backup-pre-E54","directory","1487679","1,42 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e31-accepted-local-state-before-feedback-20260713-000640","backup-pre-E54","directory","1367077567","1,27 GB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e31-program-pages-links-validation-before-20260712-223200","backup-pre-E54","directory","1592984","1,52 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e32-home-services-gallery-before-20260713-003442","backup-pre-E54","directory","118684068","113,19 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e33-fix01-uslugi-slider-match-home-before-20260713-014249","backup-pre-E54","directory","119750208","114,20 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e33-service-images-uslugi-slider-before-20260713-012211","backup-pre-E54","directory","119907982","114,35 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e34-specialists-pages-slider-before-20260713-020509","backup-pre-E54","directory","119840544","114,29 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e35-fix01-alcohol-article-image-before-20260713-030319","backup-pre-E54","directory","3395130","3,24 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e36-e37-persistence-before-20260713-042025","backup-pre-E54","directory","904762","883,56 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e36-home-recovery-life-mobile-before-20260713-034546","backup-pre-E54","directory","120828244","115,23 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e37-home-rehabilitation-program-direction-mobile-before-20260713-040259","backup-pre-E54","directory","143025818","136,40 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e38-fix01-home-admin-orphan-hygiene-before-20260713-193615","backup-pre-E54","directory","119095592","113,58 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e38-home-admin-parity-uslugi-links-before-20260713-190141","backup-pre-E54","directory","119028497","113,51 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e39-home-admin-order-localization-before-20260714-001557","backup-pre-E54","directory","118084573","112,61 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e40-home-admin-editable-blocks-before-20260714-010957","backup-pre-E54","directory","118124175","112,65 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e41-fix01-hero-height-rehab-intro-before-20260714-024847","backup-pre-E54","directory","119080236","113,56 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e41-home-admin-hero-toggles-recovery-life-before-20260714-015935","backup-pre-E54","directory","118625493","113,13 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e42-home-freeze-accepted-before-next-page-types-20260714-033407","backup-pre-E54","directory","207955418","198,32 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e43-fix01-services-category-intro-lead-before-20260714-044434","backup-pre-E54","directory","120642282","115,05 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e43-services-hub-admin-parity-before-20260714-040826","backup-pre-E54","directory","120396877","114,82 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e44-services-hub-freeze-before-layout-governance-20260714-051559","backup-pre-E54","directory","119448782","113,92 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix01-service-layout-model-before-20260714-180233","backup-pre-E54","directory","121967634","116,32 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix02-rename-alcohol-special-before-20260714-183309","backup-pre-E54","directory","121103074","115,49 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix03-service-layout-selector-simplification-before-20260714-202448","backup-pre-E54","directory","122268475","116,60 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-service-layout-variant-implementation-before-20260714-163201","backup-pre-E54","directory","121273115","115,66 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix01-service-section-hero-admin-separation-before-20260714-214425","backup-pre-E54","directory","121769375","116,13 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix02-section-repeaters-stages-before-20260714-225532","backup-pre-E54","directory","121344085","115,72 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix03-section-cta-program-fallback-before-20260714-234056","backup-pre-E54","directory","120515319","114,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix04-section-admin-cleanup-landscape-before-20260715-002138","backup-pre-E54","directory","120505266","114,92 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix05-section-demo-data-no-template-fallback-before-20260715-004351","backup-pre-E54","directory","120598109","115,01 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-service-section-admin-parity-zavisimosti-before-20260714-210729","backup-pre-E54","directory","121731080","116,09 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix01-service-general-admin-ux-cleanup-before-20260715-125222","backup-pre-E54","directory","121754301","116,11 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix02-service-general-acf-render-before-20260715-133411","backup-pre-E54","directory","122033925","116,38 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix03-service-general-signs-readmore-before-20260715-160233","backup-pre-E54","directory","123738244","118,01 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix04-service-signs-readmore-toggle-before-20260715-170136","backup-pre-E54","directory","123267650","117,56 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-service-general-admin-parity-alcohol-before-20260715-114038","backup-pre-E54","directory","120765581","115,17 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-service-general-freeze-accepted-before-next-phase-20260715-175228","backup-pre-E54","directory","209524892","199,82 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e48-representative-services-rollout-before-20260715-203048","backup-pre-E54","directory","212962975","203,10 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-fix01-restore-315-service-layout-before-20260716-023509","backup-pre-E54","directory","126877604","121,00 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-before-20260715-212933","backup-pre-E54","directory","215749228","205,75 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-freeze-accepted-after-fix01-before-next-phase-20260716-025224","backup-pre-E54","directory","217207189","207,14 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-freeze-accepted-before-next-phase-20260716-021704","backup-pre-E54","directory","219204532","209,05 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e50-service-sections-demo-acf-sot-before-20260715-222858","backup-pre-E54","directory","122574378","116,90 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e50-service-sections-demo-acf-sot-freeze-accepted-before-next-phase-20260715-230201","backup-pre-E54","directory","210772363","201,01 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-fix01-placeholder-manual-switch-persistence-before-20260716-001214","backup-pre-E54","directory","122342396","116,67 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-fix02-real-admin-placeholder-switch-before-20260716-010437","backup-pre-E54","directory","125287972","119,48 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-placeholder-layout-mode-restore-before-20260715-234500","backup-pre-E54","directory","124236482","118,48 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-placeholder-mode-freeze-accepted-before-next-phase-20260716-013604","backup-pre-E54","directory","211868316","202,05 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e52-generic-pages-demo-acf-sot-placeholder-before-20260716-043208","backup-pre-E54","directory","0","","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e52-generic-pages-demo-acf-sot-placeholder-before-20260716-043220","backup-pre-E54","directory","123330257","117,62 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e53-admin-ux-section-styling-before-20260716-051631","backup-pre-E54","directory","131819455","125,71 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e7b-hero-system-finalization-pre-20260706-185846","backup-pre-E54","directory","1555002","1,48 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e8-static-v9-content-main-layout-authority-repair-pre-20260706-230033","backup-pre-E54","directory","0","","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e8-static-v9-content-main-layout-authority-repair-pre-20260706-230100","backup-pre-E54","directory","1470738","1,40 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\wpilot-pre-dev-runtime-reconciliation-20260702T161228Z","backup-pre-E54","directory","142167","138,83 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\AI MARS STORAGE\git-sync-fp0002-e29b-fix2c-20260710-180821","git-sync-worktree","directory","2805949937","2,61 GB","DELETE_CONFIRMED","DELETED","REMOVABLE","Clean; HEAD ancestor of remote; superseded"
"X:\AI MARS STORAGE\git-sync-fp0002-e29c-e35-20260713-032549","git-sync-worktree","directory","474400474","452,42 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","STOP: 6 unpushed commits not ancestor of remote tip"
"X:\AI MARS STORAGE\git-sync-fp0002-e38-e51-20260716-031000","git-sync-worktree","directory","0","","DELETE_CONFIRMED","DELETED","REMOVABLE","Empty dir; not registered worktree"
"X:\AI MARS STORAGE\git-sync-fp0002-e58-20260716-225851","git-sync-worktree","directory","0","","DELETE_CONFIRMED","DELETED","REMOVABLE","Empty dir; not registered worktree"
"X:\AI MARS STORAGE\git-sync-fp0002-e63-stable-v1-20260718-004331","git-sync-worktree","directory","3214791613","2,99 GB","DELETE_CONFIRMED","DELETED","REMOVABLE","Clean; HEAD=remote tip 9d5dcc28; no untracked; re-creatable"
"X:\AI MARS STORAGE\git-sync-fp0002-push-divergence-20260716-040930","git-sync-worktree","directory","2880471904","2,68 GB","DELETE_CONFIRMED","DELETED","REMOVABLE","Clean; HEAD ancestor of remote; superseded"
"X:\AI MARS STORAGE\git-sync-e01\repo","git-sync-worktree-foreign","directory","0","","SKIP_FOREIGN","PRESENT","PROTECTED-FOREIGN","SITE-002 ownership — out of scope"
"X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\debug.log","runtime-log","file","3847501","3,67 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Development debug.log; smoke after"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\REPORTS\evidence","evidence-root","directory","387064713","369,13 MB","KEEP","DELETED","PROTECTED","Keep Git/traceability evidence packs; no broad delete"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS","source-authority","directory","0","","PROTECT","PRESENT","PROTECTED","Canonical source"
"X:\MARS-Localhost\sites\wordpress\projects\shpigovsky","runtime-authority","directory","0","","PROTECT","DELETED","PROTECTED","Runtime project"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\REPORTS\STABLE-V1","release-docs","directory","0","","PROTECT","PRESENT","PROTECTED","Stable v1 docs"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\DOCS\FORGE-PROGER-EXPERIENCE-PACK\v9-06-batch-01","experience-pack-p1","directory","0","","PROTECT","PRESENT","PROTECTED","Phase 1 pack"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\DOCS\FORGE-PROGER-EXPERIENCE-PACK\v9-stable-v1-phase-02","experience-pack-p2","directory","0","","PROTECT","PRESENT","PROTECTED","Phase 2 pack"
